                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3029,                 1.3806,                 1.0507,                0.90104,                0.20568,                0.43385,                0.28824,                 1.1936,                 2.3579,                 1.0548,             0.00046526,             0.00046526,             0.00046526
                      2,                 1.2839,                 1.1742,                 1.0497,                0.43181,                0.41392,                0.44545,                0.29045,                 1.1851,                 1.7545,                 1.0721,             0.00093227,             0.00093227,             0.00093227
                      3,                 1.2596,                 1.1097,                 1.0457,                0.81751,                0.61814,                0.64687,                 0.4188,                 1.2352,                 1.3167,                 1.1102,              0.0013898,              0.0013898,              0.0013898
                      4,                 1.2539,                 1.0688,                 1.0465,                0.68853,                0.52689,                0.60223,                0.37368,                 1.1303,                 1.3559,                 1.1156,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.2114,                0.97212,                 1.0407,                0.63371,                0.54034,                0.58229,                0.36091,                 1.1751,                 1.2644,                 1.0788,              0.0013724,              0.0013724,              0.0013724
                      6,                  1.223,                0.95272,                  1.035,                0.82532,                0.44514,                0.50387,                0.32708,                 1.1815,                 1.2965,                   1.15,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.1961,                0.91702,                 1.0224,                 0.6792,                0.61898,                0.67464,                0.44067,                 1.1519,                  1.097,                  1.092,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.1688,                0.85042,                 1.0263,                  0.936,                0.58744,                0.67127,                0.43478,                 1.1056,                0.96927,                 1.0534,                0.00133,                0.00133,                0.00133
                      9,                 1.1707,                0.81934,                 1.0142,                0.84845,                0.58004,                0.65046,                0.40301,                  1.173,                 1.0065,                 1.0929,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.1658,                0.81052,                 1.0098,                 0.7559,                0.66926,                0.74124,                0.50934,                 1.0676,                0.83835,                 1.0435,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.1832,                0.78373,                 1.0106,                0.91941,                0.61479,                0.69688,                0.45516,                 1.0878,                 0.7777,                 1.0773,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.1154,                0.74353,                0.99824,                0.78606,                0.68665,                0.76302,                0.51436,                 1.1047,                0.79804,                 1.0701,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.1559,                0.74043,                0.99084,                0.72264,                0.66244,                0.71401,                0.48788,                 1.0672,                0.80284,                 1.0295,              0.0012592,              0.0012592,              0.0012592
